382d671b ADRatio
f87012e4 Characters/KingPoro/Spells/KingPoroFall
2835184b Characters/KingPoro/Spells/PoroLob
b93878ac Characters/Kled
c6a6efc9 Characters/Kled/Spells/KledBasicAttack
b3cbc821 Characters/Kled/Spells/KledBasicAttack2
b2cbc68e Characters/Kled/Spells/KledBasicAttack3
b5cbcb47 Characters/Kled/Spells/KledBasicAttack4
fd1cc909 Characters/Kled/Spells/KledCritAttack
2d3d8ebc Characters/Kled/Spells/KledE
c5e7698a Characters/Kled/Spells/KledE2
b6dd4cea Characters/Kled/Spells/KledE2Dash
b1ebe4eb Characters/Kled/Spells/KledE2Target
4f98a3c0 Characters/Kled/Spells/KledEDash
a650ac3a Characters/Kled/Spells/KledESpeedBuff
fd8e05b0 Characters/Kled/Spells/KledMountReturn
9e0baae2 Characters/Kled/Spells/KledPassive
127f5e83 Characters/Kled/Spells/KledPassiveCooldown
193d6f40 Characters/Kled/Spells/KledQ
1b7fd061 Characters/Kled/Spells/KledQMark
5e688958 Characters/Kled/Spells/KledQMissile
1cee3485 Characters/Kled/Spells/KledQSlow
28f75bad Characters/Kled/Spells/KledRAbility
30eff9d7 Characters/Kled/Spells/KledRChargeAllySpeedBuff
ae990ce1 Characters/Kled/Spells/KledRDash
1328169c Characters/Kled/Spells/KledRShield
d1b21b09 Characters/Kled/Spells/KledRemountDash
48dd25a3 Characters/Kled/Spells/KledRiderBasicAttack
45222343 Characters/Kled/Spells/KledRiderBasicAttack2
c5ace3cb Characters/Kled/Spells/KledRiderCritAttack
3ae855ce Characters/Kled/Spells/KledRiderQ
665315ba Characters/Kled/Spells/KledRiderQMissile
d772dde3 Characters/Kled/Spells/KledRiderWAttack1
d872df76 Characters/Kled/Spells/KledRiderWAttack2
d972e109 Characters/Kled/Spells/KledRiderWAttack3
da72e29c Characters/Kled/Spells/KledRiderWAttack4
1f3d78b2 Characters/Kled/Spells/KledW
a65dfd54 Characters/Kled/Spells/KledWActive
9f2bdedd Characters/Kled/Spells/KledWAttack1
9c2bda24 Characters/Kled/Spells/KledWAttack2
9d2bdbb7 Characters/Kled/Spells/KledWAttack3
9a2bd6fe Characters/Kled/Spells/KledWAttack4
9b2bd891 Characters/Kled/Spells/KledWAttack5
b8033268 Characters/KogMaw
687a7185 Characters/KogMaw/Spells/KogMawBasicAttack
2fc10315 Characters/KogMaw/Spells/KogMawBasicAttack2
5019cb7d Characters/KogMaw/Spells/KogMawBioArcaneBarrage
52c83b65 Characters/KogMaw/Spells/KogMawBioArcaneBarrageAttack
61e64a8c Characters/KogMaw/Spells/KogMawCausticSpittle
cbe52e44 Characters/KogMaw/Spells/KogMawCausticSpittleCharged
8a3050d5 Characters/KogMaw/Spells/KogMawCritAttack
1c09561e Characters/KogMaw/Spells/KogMawIcathianDisplay
4b24e1b3 Characters/KogMaw/Spells/KogMawIcathianSurprise
027cda52 Characters/KogMaw/Spells/KogMawIcathianSurpriseSound
de9c8e1e Characters/KogMaw/Spells/KogMawLivingArtillery
528895eb Characters/KogMaw/Spells/KogMawLivingArtillerySight
f7306cbc Characters/KogMaw/Spells/KogMawQ
c30af757 Characters/KogMaw/Spells/KogMawQMis
d078b2d0 Characters/KogMaw/Spells/KogMawVoidOoze
68836688 Characters/KogMaw/Spells/KogMawVoidOozeMissile
46eec6b1 Characters/Leblanc
15ee26e5 Characters/Leblanc/Spells/LeblancBasicAttack
5ce72475 Characters/Leblanc/Spells/LeblancBasicAttack2
5be722e2 Characters/Leblanc/Spells/LeblancBasicAttack3
7006b0b5 Characters/Leblanc/Spells/LeblancCritAttack
339257a0 Characters/Leblanc/Spells/LeblancE
c9bea0ff Characters/Leblanc/Spells/LeblancEBeam
0dc5e038 Characters/Leblanc/Spells/LeblancEMissile
bca3e218 Characters/Leblanc/Spells/LeblancERoot
489278af Characters/Leblanc/Spells/LeblancP
a59e0792 Characters/Leblanc/Spells/LeblancPBuff
b0942eda Characters/Leblanc/Spells/LeblancPCooldown
bd47989a Characters/Leblanc/Spells/LeblancPMark
ba4df896 Characters/Leblanc/Spells/LeblancPMarkProc
4792771c Characters/Leblanc/Spells/LeblancQ
b8b4a5a5 Characters/Leblanc/Spells/LeblancQChain
bd92f775 Characters/Leblanc/Spells/LeblancQMark
4a927bd5 Characters/Leblanc/Spells/LeblancR
1498b610 Characters/Leblanc/Spells/LeblancRE
917b062f Characters/Leblanc/Spells/LeblancREBeam
6aa909c8 Characters/Leblanc/Spells/LeblancREMissile
ae97f548 Characters/Leblanc/Spells/LeblancRERoot
0898a32c Characters/Leblanc/Spells/LeblancRQ
d4e1faa5 Characters/Leblanc/Spells/LeblancRQMark
f7a39e94 Characters/Leblanc/Spells/LeblancRQMissile
dd507398 Characters/Leblanc/Spells/LeblancRREMissile
d54fcdfc Characters/Leblanc/Spells/LeblancRRQ
a9730b0c Characters/Leblanc/Spells/LeblancRStealth
4213f4f5 Characters/Leblanc/Spells/LeblancRToggle
97cbf904 Characters/Leblanc/Spells/LeblancRWAbility
6661a3d3 Characters/Leblanc/Spells/LeblancRWMove
459273f6 Characters/Leblanc/Spells/LeblancW
0986daa3 Characters/Leblanc/Spells/LeblancWMove
ca2bf960 Characters/Leblanc/Spells/LeblancWReturn
463da9ff Characters/Leblanc/Spells/LeblancWReturnSFX
3103e462 Characters/LeeSin
35da489e Characters/LeeSin/Spells/BlindMonkCripple
b5eb5458 Characters/LeeSin/Spells/BlindMonkDragonsRage
53996d36 Characters/LeeSin/Spells/BlindMonkEOne
3f9be5cc Characters/LeeSin/Spells/BlindMonkETwo
58e640b4 Characters/LeeSin/Spells/BlindMonkETwoMissile
94319aff Characters/LeeSin/Spells/BlindMonkFlurry
aa452b09 Characters/LeeSin/Spells/BlindMonkIronWill
474620e2 Characters/LeeSin/Spells/BlindMonkQOne
33489978 Characters/LeeSin/Spells/BlindMonkQTwo
c2295cf4 Characters/LeeSin/Spells/BlindMonkQTwoDash
1fdfe435 Characters/LeeSin/Spells/BlindMonkRKick
e97471c3 Characters/LeeSin/Spells/BlindMonkSafeguard
6291c27c Characters/LeeSin/Spells/BlindMonkSonicWave
c9f50fa3 Characters/LeeSin/Spells/BlindMonkTempest
4671469c Characters/LeeSin/Spells/BlindMonkWOne
3f23c4a2 Characters/LeeSin/Spells/BlindMonkWTwo
44b4879d Characters/LeeSin/Spells/LeeSinBasicAttack
d731987d Characters/LeeSin/Spells/LeeSinBasicAttack2
d63196ea Characters/LeeSin/Spells/LeeSinBasicAttack3
d1318f0b Characters/LeeSin/Spells/LeeSinBasicAttack4
c83c7f5d Characters/LeeSin/Spells/LeeSinCritAttack
8f952ca6 Characters/LeeSin/Spells/LeeSinPassive
a62a278b Characters/Leona
bb3e93dd Characters/Leona/Spells/LeonaBasicAttack
b282e13d Characters/Leona/Spells/LeonaBasicAttack2
b182dfaa Characters/Leona/Spells/LeonaBasicAttack3
ac82d7cb Characters/Leona/Spells/LeonaBasicAttack4
fc59579d Characters/Leona/Spells/LeonaCritAttack
3af9e954 Characters/Leona/Spells/LeonaShieldOfDaybreak
497673a0 Characters/Leona/Spells/LeonaShieldOfDaybreakAttack
12a3f7da Characters/Leona/Spells/LeonaSkinEclipseUltForm
7bccc195 Characters/Leona/Spells/LeonaSolarBarrier
c056be34 Characters/Leona/Spells/LeonaSolarBarrierAttackBuff
ff97d7fe Characters/Leona/Spells/LeonaSolarFlare
4f3c83f3 Characters/Leona/Spells/LeonaSunlight
5cf24b6c Characters/Leona/Spells/LeonaSunlightPassive
9d56b309 Characters/Leona/Spells/LeonaZenithBlade
acb08717 Characters/Leona/Spells/LeonaZenithBladeMissile
ae431611 Characters/Leona/Spells/LeonaZenithBladeRoot
696c0b3e Characters/Leona/Spells/NightmareBotLeonaBuff
2d1771cf Characters/Leona/Spells/NightmareBotLeonaSolarBarrier
c07717b0 Characters/Leona/Spells/NightmareBotLeonaSolarFlare
81083c75 Characters/Lissandra
a7436d0d Characters/Lissandra/Spells/LissandraBasicAttack
8e24fa2d Characters/Lissandra/Spells/LissandraBasicAttack2
887c738d Characters/Lissandra/Spells/LissandraCritAttack
b1436668 Characters/Lissandra/Spells/LissandraE
fc87e782 Characters/Lissandra/Spells/LissandraEBuffer
19ecad49 Characters/Lissandra/Spells/LissandraEDamage
baa94190 Characters/Lissandra/Spells/LissandraEMissile
43f32436 Characters/Lissandra/Spells/LissandraPassive
190eaae2 Characters/Lissandra/Spells/LissandraPassiveAttack
ae539d43 Characters/Lissandra/Spells/LissandraPassiveBuff
87d9eb55 Characters/Lissandra/Spells/LissandraPassiveReady
a5435384 Characters/Lissandra/Spells/LissandraQ
914fa0fc Characters/Lissandra/Spells/LissandraQMissile
cfe435ed Characters/Lissandra/Spells/LissandraQShards
a843583d Characters/Lissandra/Spells/LissandraR
f5b3aea8 Characters/Lissandra/Spells/LissandraRDamage
a630fa83 Characters/Lissandra/Spells/LissandraREnemy
501aa4a3 Characters/Lissandra/Spells/LissandraREnemy2
625ec23f Characters/Lissandra/Spells/LissandraRRemoval
833b52bf Characters/Lissandra/Spells/LissandraRSelf
bef77350 Characters/Lissandra/Spells/LissandraRSlow
7b43b86c Characters/Lissandra/Spells/LissandraRSpellShieldCheck
0bb4e4b0 Characters/Lissandra/Spells/LissandraSlow
a343505e Characters/Lissandra/Spells/LissandraW
bc87d60c Characters/Lissandra/Spells/LissandraWFrozen
92421412 Characters/Lucian
528e7771 Characters/Lucian/Spells/LucianBasicAttack
3945be79 Characters/Lucian/Spells/LucianBasicAttack2
b4d49c21 Characters/Lucian/Spells/LucianCritAttack
bdb1b1e9 Characters/Lucian/Spells/LucianCritAttack2
f22dfb84 Characters/Lucian/Spells/LucianE
2b27587a Characters/Lucian/Spells/LucianPassive
be01ad16 Characters/Lucian/Spells/LucianPassiveAttack
fb604bcf Characters/Lucian/Spells/LucianPassiveBuff
e47ed9e2 Characters/Lucian/Spells/LucianPassiveShot
cb5e8b82 Characters/Lucian/Spells/LucianPassiveShotDummy
fe2e0e68 Characters/Lucian/Spells/LucianQ
1a421549 Characters/Lucian/Spells/LucianQDamage
a6a7e5a5 Characters/Lucian/Spells/LucianRAbility
e36ec8df Characters/Lucian/Spells/LucianRMissile
fd568d4d Characters/Lucian/Spells/LucianRMissileOffhand
042e17da Characters/Lucian/Spells/LucianW
754cce2f Characters/Lucian/Spells/LucianWBuff
9787b014 Characters/Lucian/Spells/LucianWDebuff
36b2f4e6 Characters/Lucian/Spells/LucianWMissile
65e64b72 Characters/Lulu
a975d25d Characters/Lulu/Spells/LuluBasicAttack
337a44bd Characters/Lulu/Spells/LuluBasicAttack2
7a662f1d Characters/Lulu/Spells/LuluCritAttack
443c9e58 Characters/Lulu/Spells/LuluE
230d9305 Characters/Lulu/Spells/LuluEBurn
acd59a61 Characters/Lulu/Spells/LuluEShield
440c7766 Characters/Lulu/Spells/LuluPassive
60c126e2 Characters/Lulu/Spells/LuluPassiveMissile
3693deba Characters/Lulu/Spells/LuluPassiveMissileController
583cbdd4 Characters/Lulu/Spells/LuluQ
b95747ec Characters/Lulu/Spells/LuluQMissile
351b14e6 Characters/Lulu/Spells/LuluQMissileTwo
21bee521 Characters/Lulu/Spells/LuluQSlow
5b3cc28d Characters/Lulu/Spells/LuluR
3a45db20 Characters/Lulu/Spells/LuluRSlow
563cbaae Characters/Lulu/Spells/LuluW
bc905b5b Characters/Lulu/Spells/LuluWBuff
f3bac020 Characters/Lulu/Spells/LuluWDebuff
21b8479c Characters/Lulu/Spells/LuluWTwo
4019827a Characters/Lulu/Spells/NightmareBotLuluBuff
798ecc72 Characters/Lulu/Spells/NightmareBotLuluQ
788ecadf Characters/Lulu/Spells/NightmareBotLuluR
738ec300 Characters/Lulu/Spells/NightmareBotLuluW
c778a2ba Characters/Lulu/Spells/NightmareBotLuluWTwo
85f215ef Characters/Lux
e3b1cb05 Characters/Lux/Spells/LuxBasicAttack
a7e2e795 Characters/Lux/Spells/LuxBasicAttack2
e2798155 Characters/Lux/Spells/LuxCritAttack
30ce8625 Characters/Lux/Spells/LuxEEnd
80981fbe Characters/Lux/Spells/LuxIlluminatingFraulein
ae32d913 Characters/Lux/Spells/LuxIlluminationPassive
d2454220 Characters/Lux/Spells/LuxLightBinding
f9bf9e2c Characters/Lux/Spells/LuxLightBindingDummy
983437ab Characters/Lux/Spells/LuxLightBindingMis
832a2c47 Characters/Lux/Spells/LuxLightStrikeKugel
54c70e75 Characters/Lux/Spells/LuxLightstrikeToggle
10bdf4a9 Characters/Lux/Spells/LuxMaliceCannonAbility
91bd5868 Characters/Lux/Spells/LuxMaliceCannonMis
5cd3506a Characters/Lux/Spells/LuxPrismaticWave
f9568356 Characters/Lux/Spells/LuxPrismaticWaveMissile
e30d2fc4 Characters/Lux/Spells/LuxPrismaticWaveReturn
a3c5a3da Characters/Lux/Spells/LuxPrismaticWaveReturnDead
f90a0caa Characters/Lux/Spells/LuxRVfxMis
06f3a210 Characters/Lux/Spells/LuxShield
37640ed3 Characters/Lux/Spells/LuxUltimateSkinElementMissile
d9965bcd Characters/Lux/Spells/LuxUltimateSkinTransformAnimation
667bd6ee Characters/Lux/Spells/NightmareBotLuxBuff
29899852 Characters/Lux/Spells/NightmareBotLuxE
f8c939aa Characters/Lux/Spells/NightmareBotLuxEToggle
3589ab36 Characters/Lux/Spells/NightmareBotLuxQ
9d393e1e Characters/Lux/Spells/NightmareBotLuxQSplit
3489a9a3 Characters/Lux/Spells/NightmareBotLuxR
34873061 Characters/Lux/Spells/NightmareBotLuxRCannonMis
03feb2b8 Characters/Malphite
126e8ba3 Characters/Malphite/Spells/Landslide
cdf4e861 Characters/Malphite/Spells/LandslideDebuff
fb8d6b53 Characters/Malphite/Spells/Malphite Shield Cooldown
e931af9d Characters/Malphite/Spells/MalphiteBasicAttack
c837907d Characters/Malphite/Spells/MalphiteBasicAttack2
e17e2aa1 Characters/Malphite/Spells/MalphiteCleave
fea3b75d Characters/Malphite/Spells/MalphiteCritAttack
4c3e7b19 Characters/Malphite/Spells/MalphiteDamageBuff
a87b6a3b Characters/Malphite/Spells/MalphiteObduracyEffect
8237db68 Characters/Malphite/Spells/MalphiteShield
f497f29f Characters/Malphite/Spells/MalphiteThunderclap
50025e6c Characters/Malphite/Spells/Obduracy
fd0561e8 Characters/Malphite/Spells/ObduracyAttack
28faa119 Characters/Malphite/Spells/OdysseyAugments_MalphiteE
13138ab3 Characters/Malphite/Spells/OdysseyAugments_MalphiteEDebuff
3cfac095 Characters/Malphite/Spells/OdysseyAugments_MalphiteQ
58292527 Characters/Malphite/Spells/OdysseyAugments_MalphiteQDebuff
39fabbdc Characters/Malphite/Spells/OdysseyAugments_MalphiteR
382872ba Characters/Malphite/Spells/OdysseyAugments_MalphiteRDebuff
22817f2d Characters/Malphite/Spells/OdysseyAugments_MalphiteWActive
bcde1b6d Characters/Malphite/Spells/OdysseyAugments_MalphiteWChargedAttack
098df77c Characters/Malphite/Spells/OdysseyAugments_MalphiteWPassive
78ead012 Characters/Malphite/Spells/SeismicShard
51a452c7 Characters/Malphite/Spells/SeismicShardBuff
5c44ea9c Characters/Malphite/Spells/SeismicShardReturn
95cf4795 Characters/Malphite/Spells/UFSlash
9947e1c3 Characters/Malphite/Spells/UnstoppableForceStun
efed7de0 Characters/Malzahar
317c9dc5 Characters/Malzahar/Spells/MalzaharBasicAttack
de2cabd5 Characters/Malzahar/Spells/MalzaharBasicAttack2
dffa5815 Characters/Malzahar/Spells/MalzaharCritAttack
34a59280 Characters/Malzahar/Spells/MalzaharE
cb73f8fe Characters/Malzahar/Spells/MalzaharPassive
9e0216b3 Characters/Malzahar/Spells/MalzaharPassiveShield
ec05d813 Characters/Malzahar/Spells/MalzaharPassiveShieldCooldownIndicator
56e81135 Characters/Malzahar/Spells/MalzaharPassiveShieldWinddown
48a5b1fc Characters/Malzahar/Spells/MalzaharQ
81b3c044 Characters/Malzahar/Spells/MalzaharQMissile
4ba5b6b5 Characters/Malzahar/Spells/MalzaharR
38a01324 Characters/Malzahar/Spells/MalzaharRSound
259b2bb7 Characters/Malzahar/Spells/MalzaharVoidling
46a5aed6 Characters/Malzahar/Spells/MalzaharW
700e4fcc Characters/Malzahar/Spells/MalzaharWCancel
5af2f89a Characters/Malzahar/Spells/MalzaharWEnemyCounter
7a0201cc Characters/Malzahar/Spells/MalzaharWFrenzy
90318f2f Characters/Malzahar/Spells/MalzaharWStacks
105ad6b6 Characters/Malzahar/Spells/NightmareBotMalzaharBuff
91ff1b65 Characters/MalzaharVoidling/Spells/MalzaharVoidlingBasicAttack
2b9809f5 Characters/MalzaharVoidling/Spells/MalzaharVoidlingBasicAttack2
2a980862 Characters/MalzaharVoidling/Spells/MalzaharVoidlingBasicAttack3
98ecaa2c Characters/Maokai
95ddd711 Characters/Maokai/Spells/MaokaiBasicAttack
0f39ac19 Characters/Maokai/Spells/MaokaiBasicAttack2
f9f24441 Characters/Maokai/Spells/MaokaiCritAttack
1b3b0e24 Characters/Maokai/Spells/MaokaiE
05b4efdd Characters/Maokai/Spells/MaokaiEMark
5f63eb1c Characters/Maokai/Spells/MaokaiEMissile
446fd52c Characters/Maokai/Spells/MaokaiEMissileBrush
0da9ca3a Characters/Maokai/Spells/MaokaiEMissileBrushTiny
8a490a98 Characters/Maokai/Spells/MaokaiEMissileBrushTiny2
681dfab1 Characters/Maokai/Spells/MaokaiESlow
1d8b0d1a Characters/Maokai/Spells/MaokaiPassive
412999b6 Characters/Maokai/Spells/MaokaiPassiveAttack
91929841 Characters/Maokai/Spells/MaokaiPassiveReady
7e55af6a Characters/Maokai/Spells/MaokaiPassiveStack
273b2108 Characters/Maokai/Spells/MaokaiQ
cb3e161f Characters/Maokai/Spells/MaokaiQKnockback
0a5804b0 Characters/Maokai/Spells/MaokaiQMissile
2a3b25c1 Characters/Maokai/Spells/MaokaiR
9df9fdac Characters/Maokai/Spells/MaokaiRMis
a6acf1ea Characters/Maokai/Spells/MaokaiRMisExtra
7b3aaa09 Characters/Maokai/Spells/MaokaiRRoot
243a6173 Characters/Maokai/Spells/MaokaiRSoundMis
76e56177 Characters/Maokai/Spells/MaokaiSapling2
209afa8b Characters/Maokai/Spells/MaokaiTrunkLine
2d3b2a7a Characters/Maokai/Spells/MaokaiW
8aff42ce Characters/Maokai/Spells/MaokaiWRoot
129941af Characters/Maokai/Spells/TrapLimiter_Maokai
481428f6 Characters/MasterYi
1ee8c457 Characters/MasterYi/Spells/Alpha Strike
6f129e40 Characters/MasterYi/Spells/Alpha Striking
75f3bce5 Characters/MasterYi/Spells/AlphaStrike
225f335d Characters/MasterYi/Spells/AlphaStrikeBounce
d49fa223 Characters/MasterYi/Spells/AlphaStrikeMissile
0c105c81 Characters/MasterYi/Spells/AlphaStrikeMissileReturn
886a65de Characters/MasterYi/Spells/AlphaStrikeTeleport
69983c77 Characters/MasterYi/Spells/ChosenYiSwordBuff
6c1c3e94 Characters/MasterYi/Spells/ChosenYiSwordWujuStyleSuperChargedVisualBuff
5f586a21 Characters/MasterYi/Spells/ChosenYiSwordWujuStyleVisualBuff
841d97ce Characters/MasterYi/Spells/DoubleStrike
c04e2aad Characters/MasterYi/Spells/DoubleStrikeReady
89409f97 Characters/MasterYi/Spells/DoubleStrikeStacks
7b254daf Characters/MasterYi/Spells/Highlander
20c00fa4 Characters/MasterYi/Spells/HighlanderSpellPassive
0e5e4c59 Characters/MasterYi/Spells/MasterYiBasicAttack
09724c71 Characters/MasterYi/Spells/MasterYiBasicAttack2
e963b4d9 Characters/MasterYi/Spells/MasterYiCritAttack
0bd93ac6 Characters/MasterYi/Spells/MasterYiDoubleStrike
064de992 Characters/MasterYi/Spells/MasterYiPassive
7728aca8 Characters/MasterYi/Spells/Meditate
4ad03805 Characters/MasterYi/Spells/WujuStyle
384e9b4c Characters/MasterYi/Spells/WujuStyleSuperCharged
2cf068e7 Characters/MissFortune
853f0fab Characters/MissFortune/Spells/IsPirateHunter
3ca8eee0 Characters/MissFortune/Spells/Miss Fortune Strut Cooldown
47f9a7a5 Characters/MissFortune/Spells/MissFortuneBasicAttack
e502d2b5 Characters/MissFortune/Spells/MissFortuneBasicAttack2
9bdb74b2 Characters/MissFortune/Spells/MissFortuneBulletEMPTY
d5b37260 Characters/MissFortune/Spells/MissFortuneBulletSound
f3e33e30 Characters/MissFortune/Spells/MissFortuneBulletTime
3cbea13e Characters/MissFortune/Spells/MissFortuneBullets
e95e5875 Characters/MissFortune/Spells/MissFortuneCritAttack
b81f10de Characters/MissFortune/Spells/MissFortunePassive
ceb8175a Characters/MissFortune/Spells/MissFortunePassiveAttack
d3ccd8b8 Characters/MissFortune/Spells/MissFortunePassiveAttack2
db567016 Characters/MissFortune/Spells/MissFortunePassiveAttackCrit
34ddcbce Characters/MissFortune/Spells/MissFortunePassiveStack
f1ec0b69 Characters/MissFortune/Spells/MissFortuneRShotExtra
5c33bf84 Characters/MissFortune/Spells/MissFortuneRicochetShot
9015f5b1 Characters/MissFortune/Spells/MissFortuneRicochetShotDud
240e8721 Characters/MissFortune/Spells/MissFortuneScattershot
d047fe8c Characters/MissFortune/Spells/MissFortuneScattershotSlow
af07a6d1 Characters/MissFortune/Spells/MissFortuneStrut
8c091588 Characters/MissFortune/Spells/MissFortuneStrutStacks
c970af08 Characters/MissFortune/Spells/MissFortuneViciousStrikes
722c50a4 Characters/MonkeyKing
eb420cb1 Characters/MonkeyKing/Spells/MonkeyKingBasicAttack
dbf9b239 Characters/MonkeyKing/Spells/MonkeyKingBasicAttack2
08625861 Characters/MonkeyKing/Spells/MonkeyKingCritAttack
33455d5b Characters/MonkeyKing/Spells/MonkeyKingDecoy
be8182f2 Characters/MonkeyKing/Spells/MonkeyKingDecoyStealth
bbcbf133 Characters/MonkeyKing/Spells/MonkeyKingDecoySwipe
2587c650 Characters/MonkeyKing/Spells/MonkeyKingDoubleAttack
cc011b66 Characters/MonkeyKing/Spells/MonkeyKingDoubleAttackDebuff
1eede965 Characters/MonkeyKing/Spells/MonkeyKingDoubleAttackHit
ae72ab6b Characters/MonkeyKing/Spells/MonkeyKingNimbus
139f02b7 Characters/MonkeyKing/Spells/MonkeyKingNimbusAS
66fa8969 Characters/MonkeyKing/Spells/MonkeyKingNimbusKick
db0e355e Characters/MonkeyKing/Spells/MonkeyKingNimbusKickClone
74e833ba Characters/MonkeyKing/Spells/MonkeyKingPassive
4dcb9a54 Characters/MonkeyKing/Spells/MonkeyKingQAttack
6bf9b420 Characters/MonkeyKing/Spells/MonkeyKingSpinToWinAbility
fd5d9192 Characters/MonkeyKing/Spells/NightmareBotMonkeyKingBuff
0250770d Characters/MonkeyKing/Spells/NightmareBotMonkeyKingDecoy
fd186861 Characters/MonkeyKing/Spells/NightmareBotMonkeyKingDecoySwipe
b26cce5d Characters/MonkeyKing/Spells/NightmareBotMonkeyKingNimbus
89f4f107 Characters/MonkeyKing/Spells/NightmareBotMonkeyKingNimbusKick
af5679a4 Characters/MonkeyKing/Spells/NightmareBotMonkeyKingNimbusKickClone
3baa75c8 Characters/MonkeyKing/Spells/NightmareBotMonkeyKingSpinToWin
615a8a20 Characters/Mordekaiser
31a8beeb Characters/Mordekaiser/Spells/MordekaiserBasicAttack
05a46f9b Characters/Mordekaiser/Spells/MordekaiserBasicAttack2
7f7748e3 Characters/Mordekaiser/Spells/MordekaiserCritAttack
8070e372 Characters/Mordekaiser/Spells/MordekaiserE
7030e22e Characters/Mordekaiser/Spells/MordekaiserEMissile
7e87fd09 Characters/Mordekaiser/Spells/MordekaiserEPull
9060ecbc Characters/Mordekaiser/Spells/MordekaiserPassive
d08f0931 Characters/Mordekaiser/Spells/MordekaiserPassive_FullStacks
8c70f656 Characters/Mordekaiser/Spells/MordekaiserQ
116ca05f Characters/Mordekaiser/Spells/MordekaiserRAbility
43864547 Characters/Mordekaiser/Spells/MordekaiserRWispMis
bfc15091 Characters/Mordekaiser/Spells/MordekaiserR_StatSteal
ba8bbfef Characters/Mordekaiser/Spells/MordekaiserR_StatStealEnemy
9145de34 Characters/Mordekaiser/Spells/MordekaiserSoulMissile
8e70f97c Characters/Mordekaiser/Spells/MordekaiserW
2bf28321 Characters/Morgana
28109969 Characters/Morgana/CAC/Morgana_Conversation_Base
faa7b1a5 Characters/Morgana/Spells/MorganaBasicAttack
2cfc90b5 Characters/Morgana/Spells/MorganaBasicAttack2
6b666675 Characters/Morgana/Spells/MorganaCritAttack
f9c43960 Characters/Morgana/Spells/MorganaE
c1a07ade Characters/Morgana/Spells/MorganaPassive
0dc458dc Characters/Morgana/Spells/MorganaQ
10c45d95 Characters/Morgana/Spells/MorganaR
febdda27 Characters/Morgana/Spells/MorganaRDebuff
5957b34a Characters/Morgana/Spells/MorganaRVFXMis
0bc455b6 Characters/Morgana/Spells/MorganaW
c5d20eed Characters/Nami
4220e75d Characters/Nami/Spells/NamiBasicAttack
88cc53bd Characters/Nami/Spells/NamiBasicAttack2
278fe61d Characters/Nami/Spells/NamiCritAttack
4bc1cb58 Characters/Nami/Spells/NamiE
b4a53bcd Characters/Nami/Spells/NamiESlowtt
77a72d90 Characters/Nami/Spells/NamiEtt
04003c66 Characters/Nami/Spells/NamiPassive
b0dce586 Characters/Nami/Spells/NamiPassivett
5fc1ead4 Characters/Nami/Spells/NamiQ
a3995812 Characters/Nami/Spells/NamiQDebuff
9b0da070 Characters/Nami/Spells/NamiQDummyMissile
e61666ec Characters/Nami/Spells/NamiQMissile
f99903fc Characters/Nami/Spells/NamiQtt
6ff59109 Characters/Nami/Spells/NamiRAbility
42b42a7b Characters/Nami/Spells/NamiRMissile
714a6a11 Characters/Nami/Spells/NamiRVision
57d96d1d Characters/Nami/Spells/NamiRtt
5dc1e7ae Characters/Nami/Spells/NamiW
f946352c Characters/Nami/Spells/NamiWAlly
814eeee2 Characters/Nami/Spells/NamiWEnemy
4b8703a8 Characters/Nami/Spells/NamiWMissileAlly
ca27a8e6 Characters/Nami/Spells/NamiWMissileEnemy
61b14650 Characters/Nasus
6842a4b3 Characters/Nasus/Spells/NasusBasicAttack
a1e8f713 Characters/Nasus/Spells/NasusBasicAttack2
d7677b1b Characters/Nasus/Spells/NasusCritAttack
ce0fce9a Characters/Nasus/Spells/NasusE
30f24894 Characters/Nasus/Spells/NasusPassive
ba0faf1e Characters/Nasus/Spells/NasusQ
34cd1b9a Characters/Nasus/Spells/NasusQAttack
ea395fc7 Characters/Nasus/Spells/NasusQStacks
b90fad8b Characters/Nasus/Spells/NasusR
bc0fb244 Characters/Nasus/Spells/NasusW
665aff68 Characters/Nasus/Spells/SiphoningStrike
ce3c535b Characters/Nautilus
4b5fd482 Characters/Nautilus/Spells/NautilusAnchorDrag
7d4db71e Characters/Nautilus/Spells/NautilusAnchorDragMissile
cce5d256 Characters/Nautilus/Spells/NautilusAnchorDragRoot
1d0484e4 Characters/Nautilus/Spells/NautilusBackswingAttack
3f132ad9 Characters/Nautilus/Spells/NautilusBasicAttack
362c8ff1 Characters/Nautilus/Spells/NautilusBasicAttack2
88006c59 Characters/Nautilus/Spells/NautilusCritAttack
399cc463 Characters/Nautilus/Spells/NautilusGrandLine
dcd93a51 Characters/Nautilus/Spells/NautilusGrandLineStart
a9301d66 Characters/Nautilus/Spells/NautilusGrandLineTarget
19a84e66 Characters/Nautilus/Spells/NautilusKnockUp
ccba97cc Characters/Nautilus/Spells/NautilusMinorKnockAway
b6209773 Characters/Nautilus/Spells/NautilusMinorKnockUp
6299e012 Characters/Nautilus/Spells/NautilusPassive
338c9932 Characters/Nautilus/Spells/NautilusPassiveCheck
30dff466 Characters/Nautilus/Spells/NautilusPassiveRoot
b8f01e8f Characters/Nautilus/Spells/NautilusPiercingGaze
4f05bc0e Characters/Nautilus/Spells/NautilusPiercingGazeShield
