e55245ad Characters/Aatrox
c3507118 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_E_buf_3
ca507c1d Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_E_buf_4
c9507a8a Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_E_buf_5
c85078f7 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_E_buf_6
2e733802 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_E_cas
27d7b3c1 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_Bomb
00996e12 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_Bomb_Wall
043c1250 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_Explosion
5a9a9bc0 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_Mis
38a8479b Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_Return_Mis
97b22b8c Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_Tar
e1349913 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_Tar_Return
8f053ffe Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Q_cas
2dcba300 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_R_Child
fdc2b79b Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_R_hit
13dd5165 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_R_mis
48ae3f94 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Recall_SnowBlast
b269e321 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Recall_SnowBlast_Child
f9bb075f Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Recall_SnowDud
01dfcdc7 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Recall_SnowFace
18f65edf Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Recall_SnowSputter
e2a8f972 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_Recall_Winddown_SnowFace
35bf20d4 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_W_cas
fdad4be0 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_W_hit
f392c4fa Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_W_mis
d35b5cd3 Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_W_tar_Child
2ce6173a Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_W_tar_green
8e2f14ca Characters/Graves/Skins/Skin7/Particles/Graves_Skin07_W_tar_red
5de5cbc0 Characters/Graves/Spells/GravesAutoAttackRecoil
0063e1e1 Characters/Graves/Spells/GravesBasicAttack
b1fad7a6 Characters/Graves/Spells/GravesBasicAttackAmmo1
b0fad613 Characters/Graves/Spells/GravesBasicAttackAmmo2
bc359c36 Characters/Graves/Spells/GravesBasicAttackClone
96ef995a Characters/Graves/Spells/GravesBasicAttackSpread
e2b39dc5 Characters/Graves/Spells/GravesChargeShot
bce05195 Characters/Graves/Spells/GravesChargeShotFxMissile
fc2089e5 Characters/Graves/Spells/GravesChargeShotFxMissile2
504ee6f5 Characters/Graves/Spells/GravesChargeShotShot
0fcccc17 Characters/Graves/Spells/GravesChargeShotXplode
211033e1 Characters/Graves/Spells/GravesClusterShotAttack
52dea650 Characters/Graves/Spells/GravesClusterShotRicochet
392b4358 Characters/Graves/Spells/GravesClusterShotSoundMissile
fccd3f51 Characters/Graves/Spells/GravesCritAttack
0591cf84 Characters/Graves/Spells/GravesEGrit
f09693b8 Characters/Graves/Spells/GravesMove
cfd8ad4a Characters/Graves/Spells/GravesPassive
5f2fa37e Characters/Graves/Spells/GravesPassiveShotAttack
bfcc1339 Characters/Graves/Spells/GravesQChargeUp
f941fa51 Characters/Graves/Spells/GravesQChargeUp2
9aa39ca7 Characters/Graves/Spells/GravesQChargeUpDummy
83a1c922 Characters/Graves/Spells/GravesQChargeUpSelfSlow
a922fa9d Characters/Graves/Spells/GravesQLineMis
5bdfb55c Characters/Graves/Spells/GravesQLineSpell
889e506a Characters/Graves/Spells/GravesQPress1
879e4ed7 Characters/Graves/Spells/GravesQPress2
f32f31ee Characters/Graves/Spells/GravesQReturn
a8215c79 Characters/Graves/Spells/GravesQZoneMis
6e681768 Characters/Graves/Spells/GravesQZoneSpell
7a72b7bf Characters/Graves/Spells/GravesSmokeCloud
c47d0000 Characters/Graves/Spells/GravesSmokeGrenade
2bf6bb13 Characters/Graves/Spells/GravesSmokeGrenadeBoom
751fdc75 Characters/HABW_banner
490b57c9 Characters/HA_AP_BannerMidBridge
8d94486f Characters/HA_AP_BridgeLaneStatue
5f97978e Characters/HA_AP_Chains
3a743b9d Characters/HA_AP_Chains_Long
82445c02 Characters/HA_AP_ChaosTurret
22b9b27f Characters/HA_AP_ChaosTurret/Spells/HA_AP_ChaosTurretBasicAttack
419d1f90 Characters/HA_AP_ChaosTurret2
c56d3275 Characters/HA_AP_ChaosTurret2/Spells/HA_AP_ChaosTurret2BasicAttack
429d2123 Characters/HA_AP_ChaosTurret3
c4a23bf9 Characters/HA_AP_ChaosTurret3/Spells/HA_AP_ChaosTurret3BasicAttack
683674c4 Characters/HA_AP_ChaosTurretRubble
fefae2ed Characters/HA_AP_ChaosTurretShrine
8ab2325d Characters/HA_AP_ChaosTurretShrine/Spells/HA_AP_ChaosTurretShrineBasicAttack
00ddaa04 Characters/HA_AP_ChaosTurretTutorial
13efd4bb Characters/HA_AP_ChaosTurretTutorial/Spells/HA_AP_ChaosTurretTutorialBasicAttack
72bb16fa Characters/HA_AP_Cutaway
6d028015 Characters/HA_AP_HealthRelic
db31b72b Characters/HA_AP_Hermit
8ac34faf Characters/HA_AP_Hermit/CAC/HA_AP_Hermit
6d8857e4 Characters/HA_AP_Hermit_Robot
ac83942d Characters/HA_AP_HeroTower
af160631 Characters/HA_AP_OrderShrineTurret
ff279c6d Characters/HA_AP_OrderShrineTurret/Spells/HA_AP_OrderShrineTurretBasicAttack
ff4a0832 Characters/HA_AP_OrderTurret
36f54f47 Characters/HA_AP_OrderTurret/Spells/HA_AP_OrderTurretBasicAttack
e18a9800 Characters/HA_AP_OrderTurret2
3a03d00d Characters/HA_AP_OrderTurret2/Spells/HA_AP_OrderTurret2BasicAttack
e28a9993 Characters/HA_AP_OrderTurret3
4151c399 Characters/HA_AP_OrderTurret3/Spells/HA_AP_OrderTurret3BasicAttack
0796e674 Characters/HA_AP_OrderTurretRubble
a5230fb4 Characters/HA_AP_OrderTurretTutorial
321125f3 Characters/HA_AP_OrderTurretTutorial/Spells/HA_AP_OrderTurretTutorialBasicAttack
f9c8b243 Characters/HA_AP_PeriphBridge
27e208c6 Characters/HA_AP_Poro
ccdd3f76 Characters/HA_AP_PoroSpawner
9c14a096 Characters/HA_AP_Poro_Large
ef657dfa Characters/HA_AP_Poro_Small
5e994584 Characters/HA_AP_Poro_Snowman
05b34118 Characters/HA_AP_ShpNorth
70aacede Characters/HA_AP_ShpSouth
84a7a4e2 Characters/HA_AP_Viking
e3233381 Characters/HA_AP_Viking/CAC/HA_AP_Viking
4435ef70 Characters/HA_ChaosMinionMelee
8c006daf Characters/HA_ChaosMinionMelee/Spells/HA_ChaosMinionMeleeBasicAttack
01ac8e27 Characters/HA_ChaosMinionMelee/Spells/HA_ChaosMinionMeleeBasicAttack2
00ac8c94 Characters/HA_ChaosMinionMelee/Spells/HA_ChaosMinionMeleeBasicAttack3
07fb2637 Characters/HA_ChaosMinionRanged
4982f879 Characters/HA_ChaosMinionRanged/Spells/HA_ChaosMinionRangedBasicAttack
042cde11 Characters/HA_ChaosMinionRanged/Spells/HA_ChaosMinionRangedBasicAttack2
8b883f6b Characters/HA_ChaosMinionSiege
38f49749 Characters/HA_ChaosMinionSiege/Spells/HA_ChaosMinionSiegeBasicAttack
5b78e207 Characters/HA_ChaosMinionSuper
b66ff2b9 Characters/HA_ChaosMinionSuper/Spells/HA_ChaosMinionSuperBasicAttack
bd3ad0d1 Characters/HA_ChaosMinionSuper/Spells/HA_ChaosMinionSuperBasicAttack2
dd538b64 Characters/HA_FB_HealthRelic
57cb76c0 Characters/HA_OrderMinionMelee
33e18797 Characters/HA_OrderMinionMelee/Spells/HA_OrderMinionMeleeBasicAttack
510888bf Characters/HA_OrderMinionMelee/Spells/HA_OrderMinionMeleeBasicAttack2
5008872c Characters/HA_OrderMinionMelee/Spells/HA_OrderMinionMeleeBasicAttack3
f5466e07 Characters/HA_OrderMinionRanged
a0b64fd9 Characters/HA_OrderMinionRanged/Spells/HA_OrderMinionRangedBasicAttack
e9ffcef1 Characters/HA_OrderMinionRanged/Spells/HA_OrderMinionRangedBasicAttack2
319a135b Characters/HA_OrderMinionSiege
bc22c659 Characters/HA_OrderMinionSiege/Spells/HA_OrderMinionSiegeBasicAttack
fe35cf17 Characters/HA_OrderMinionSuper
4cd42ff9 Characters/HA_OrderMinionSuper/Spells/HA_OrderMinionSuperBasicAttack
bd073c91 Characters/HA_OrderMinionSuper/Spells/HA_OrderMinionSuperBasicAttack2
a0f3745b Characters/Hecarim
fefac015 Characters/Hecarim/CAC/Hecarim_Base
18aa670d Characters/Hecarim/CAC/Hecarim_Skin04
15aa6254 Characters/Hecarim/CAC/Hecarim_Skin07
4972ba63 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_BA1
2d64e3b8 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_BA1_weapon
4a72bbf6 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_BA2
c7e7543d Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_BA_CritAttack
e343d105 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_BA_CritAttack_tar
2965a5bd Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_BA_swipe_01
5bfcb9d4 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_BA_tar
4507387d Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_DeathFlash
ac55de9f Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_DeathHead
7293a6a0 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_DeathLegs
7532a8ff Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_DeathTail
95397312 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Death_Flash_01
56ba8f56 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Death_Head_01
454ed953 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Death_Legs_01
0872864e Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Death_Tail_01
891b2f79 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Death_sfx_01
8ad86d76 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_E_buf
191f63be Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_E_speed_buf
92a79038 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_E_tar
7527a0f7 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_E_weapon_buf
3262161f Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_E_weapon_buf2
b894de2e Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Emote_Taunt_01
237487d3 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Emote_dance_sfx_01
0a887393 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Emote_joke_sfx_01
41f6f192 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Emote_taunt_sfx_01
7ce70061 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_I_HeadTrail
f0f4efb7 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_I_HoofIdle
67c2b49e Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_I_LegsIdle
922b5d3e Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_I_MouthIdle
264379e4 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_I_MouthIdle2
59139831 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_I_TailTrail
e0e81e2e Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Q_Cas
c4230cbd Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Q_Weapon_01
504952c2 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Q_buf
866b0e5c Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Q_tar
abb8d5a1 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Q_weapon
222df82f Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_C_01
9d154cf9 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_L1
9a154840 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_L2
a9427f7b Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_R1
aa42810e Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_R2
27e7d2c0 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_impact
38e34dd5 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_mis
f9ef25c9 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_R_tar
bc7c8a4f Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_Taunt
552fb0ae Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_AoE
e57b8289 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_AoE_Enemy
6e101184 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_cas
23656331 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_debuff_01
7df37b6a Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_eff
7ef1cfad Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_eff_02
67bc7377 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_heal_buf
140baed2 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_syphon
b5f00fd6 Characters/Hecarim/Skins/Skin0/Particles/Hecarim_Base_W_tar
4aa55bea Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_BA1_weapon
7e354973 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_DeathFlash
02a79af1 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_DeathHead
bf7c3b22 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_DeathLegs
8a499281 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_DeathTail
f0f821b8 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_Death_Flash_01
2d7f7ff8 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_Death_Head_01
486b82ad Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_Death_Legs_01
682e5de8 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_Death_Tail_01
f5ec4001 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_E_weapon_buf
197fe4d3 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_I_HeadTrail
6a63b938 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_I_LegsIdle
c0f91ab0 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_I_MouthIdle
4a24baa6 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_I_MouthIdle2
f55d8b08 Characters/Hecarim/Skins/Skin1/Particles/Hecarim_Skin01_Q_buf
f7d10d04 Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_BA1_weapon
0e087e59 Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_BA_swipe_01
ceb28503 Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_E_weapon_buf
6431772a Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_HandIdle
e2339855 Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_I_HeadTrail
b845e5aa Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_I_LegsIdle
9e1fd32a Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_I_MouthIdle
04194ec8 Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_I_MouthIdle2
f0a26d46 Characters/Hecarim/Skins/Skin2/Particles/Hecarim_Skin02_Q_buf
b999a319 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_BA1
09e79d12 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_BA1_weapon
b6999e60 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_BA2
e64417ff Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_BA_CritAttack
208a633b Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_BA_swipe_01
08a58bce Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_BA_tar
c731a8bb Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_DeathFlash
fa6b0259 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_DeathHead
0fb03caa Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_DeathLegs
4319ed99 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_DeathTail
ebe01b40 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Death_Flash_01
b2e87da0 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Death_Head_01
606fcf75 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Death_Legs_01
f2665920 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Death_Tail_01
8fff1efc Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_E_buf
fe1ca50c Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_E_speed_buf
b0416679 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_E_weapon_buf
c1f40811 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_E_weapon_buf2
18a6b5cb Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_I_HeadTrail
422b3d95 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_I_HoofIdle
a5293620 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_I_LegsIdle
6a7062e8 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_I_MouthIdle
68eb9d2e Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_I_MouthIdle2
9170de8b Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_I_TailTrail
081929c4 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Q_Cas
abc81383 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Q_Weapon_01
4fc9d140 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Q_buf
52752416 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Q_tar
c14623ef Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_Q_weapon
b530950a Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_R_impact
911ec6d3 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_R_mis
d6b91077 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_R_tar
b3aaba34 Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_W_AoE
e8766c4f Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_W_AoE_Enemy
7af1366e Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_W_cas
893d635c Characters/Hecarim/Skins/Skin3/Particles/Hecarim_Skin03_W_syphon
61e4900d Characters/Hecarim/Skins/Skin3/Particles/hecarim_Skin03_Q_weapon_buf
471977a8 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_BA1_weapon
ec4ddbd5 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_BA_CritAttack_tar
80be39b4 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_BA_Swipe_02
7c44f4c0 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_BA_Swipe_crit_01
83be3e6d Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_BA_swipe_01
7fde7564 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_BA_tar
5efe6fad Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_DeathFlash
c0ed3b0f Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_DeathHead
a2b37230 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_DeathLegs
0723504f Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_DeathTail
d9db56f1 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Death_1
e7aea782 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Death_Flash_01
58254906 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Death_Head_01
058db8e3 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Death_Legs_01
8455f8de Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Death_Tail_01
5a4b7389 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Death_sfx_01
d098e486 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_E_buf
2bd7ea2e Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_E_speed_buf
628cf581 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_E_speed_buf_02
2799c047 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_E_weapon_buf
cc09f82f Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_E_weapon_buf2
175a0bc7 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_I_HoofIdle
453a3d4e Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_I_LegsIdle
6046186e Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_I_MouthIdle
ea5858d4 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_I_MouthIdle2
0b4d4a9e Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Q_Cas
6a4c022d Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Q_Weapon_01
5afdfeb2 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Q_buf
117fcd2c Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Q_tar
46099191 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Q_weapon
0d448b70 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_R_impact
481f2d05 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_R_mis
6d93c7d9 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_R_tar
f5335a88 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Recall_1
fb8a63bb Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Recall_Loop_01
3dbf7395 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Recall_leadout_sfx_01
725f8be2 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Recall_sfx_01
cb8670df Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Respawn_1
b04d787f Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_Taunt
473ff1be Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_W_AoE
de1a7819 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_W_AoE_Enemy
802084f4 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_W_cas
2fff6b01 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_W_debuff_01
e88914e7 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_W_heal_buf
d7c6e1a2 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_W_syphon
2a8cade6 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skin04_W_tar
57cd2c1a Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skn4_R_C
52dc1ad6 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skn4_R_L1
51dc1943 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skn4_R_L2
e6d6f3a4 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skn4_R_R1
e9d6f85d Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skn4_R_R2
fbf8440f Characters/Hecarim/Skins/Skin4/Particles/Hecarim_Skn4_R_impact
72d82511 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_skin04_I_HeadTrail
4ee6d7c1 Characters/Hecarim/Skins/Skin4/Particles/Hecarim_skin04_I_TailTrail
f9893c70 Characters/Hecarim/Skins/Skin4/Particles/hecarim_skin04_recall_sound
b8b19141 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_BA1
24e7f0ba Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_BA1_weapon
b5b18c88 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_BA2
9cf03bf7 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_BA_CritAttack
7542eed7 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_BA_CritAttack_tar
45a38b96 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_BA_tar
67a479c3 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_DeathFlash
046a5341 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_DeathHead
da4e8c92 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_DeathLegs
07c266b1 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_DeathTail
72d01594 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_E_buf
0646f7b4 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_E_speed_buf
b1d3d182 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_E_tar
b70642b1 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_E_weapon_buf
a1dab439 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_E_weapon_buf2
b3112f23 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_I_HeadTrail
e267f23d Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_I_HoofIdle
6bbed9c8 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_I_LegsIdle
bc805000 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_I_MouthIdle
effe3eb6 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_I_MouthIdle2
bd3e0313 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_I_TailTrail
b1eceadc Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_Q_Cas
194e12d8 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_Q_buf
7c59462e Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_Q_tar
b19c1177 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_Q_weapon
419c5cf2 Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_R_impact
06ab0ecb Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_R_mis
f9eb482f Characters/Hecarim/Skins/Skin5/Particles/Hecarim_Skin05_R_tar
